count,coordinates,valname
4479,"[-74.00904, 40.702429]",C634
4475,"[-73.984759, 40.739504]",C635
4472,"[-73.918568, 40.73173]",C636
4463,"[-73.958781, 40.76399]",C637
4454,"[-73.97668, 40.765028]",C638
4454,"[-73.976697, 40.747615]",C639
4452,"[-73.934453, 40.808319]",C640
4440,"[-73.975522, 40.796303]",C641
4427,"[-73.990131, 40.737801]",C642
4424,"[-73.985954, 40.746529]",C643
4424,"[-73.900974, 40.739192]",C644
4410,"[-73.994845, 40.750294]",C645
4409,"[-73.964345, 40.760613]",C646
4406,"[-73.971194, 40.755186]",C647
4401,"[-73.989873, 40.735253]",C648
4398,"[-73.929387, 40.799431]",C649
4384,"[-73.9747, 40.798663]",C650
4384,"[-73.927232, 40.729195]",C651
4378,"[-73.975565, 40.775203]",C652
4353,"[-73.998714, 40.734784]",C653
4352,"[-73.965674, 40.762811]",C654
4338,"[-73.972473, 40.742791]",C655
4328,"[-73.970857, 40.761665]",C656
4323,"[-73.787801, 40.645009]",C657
4320,"[-73.96848, 40.748089]",C658
4319,"[-73.990165, 40.735165]",C659
4311,"[-74.001211, 40.710056]",C660
4297,"[-73.894613, 40.746006]",C661
4295,"[-74.002791, 40.728451]",C662
4294,"[-73.978035, 40.771804]",C663
4293,"[-73.989884, 40.710016]",C664
